,x,y,z,counter,delta
716820,-1.500104999999996,0.9998700000000048,6.499815000000005,117260.0,24
716844,-1.500104999999996,1.499865000000005,6.499815000000005,120122.0,24
716867,-1.500104999999996,1.9998600000000053,5.999820000000007,1682.0,24
716868,-1.500104999999996,1.9998600000000053,6.499815000000005,87957.0,24
723731,1.499865000000005,-2.000099999999996,5.999820000000007,1812.0,24
723732,1.499865000000005,-2.000099999999996,6.499815000000005,88221.0,24
723756,1.499865000000005,-1.500104999999996,6.499815000000005,119501.0,24
723775,1.499865000000005,-1.0001099999999958,3.999840000000006,150452.0,24
723780,1.499865000000005,-1.0001099999999958,6.499815000000005,116831.0,24
723799,1.499865000000005,-0.5001149999999956,3.999840000000006,234105.0,24
723804,1.499865000000005,-0.5001149999999956,6.499815000000005,115776.0,24
723823,1.499865000000005,-0.0001199999999954,3.999840000000006,230563.0,24
723828,1.499865000000005,-0.0001199999999954,6.499815000000005,114900.0,24
723847,1.499865000000005,0.4998750000000047,3.999840000000006,234809.0,24
723852,1.499865000000005,0.4998750000000047,6.499815000000005,115938.0,24
723871,1.499865000000005,0.9998700000000048,3.999840000000006,150071.0,24
723876,1.499865000000005,0.9998700000000048,6.499815000000005,117260.0,24
723900,1.499865000000005,1.499865000000005,6.499815000000005,120122.0,24
723923,1.499865000000005,1.9998600000000053,5.999820000000007,1682.0,24
723924,1.499865000000005,1.9998600000000053,6.499815000000005,87957.0,24
774275,-1.500104999999996,-2.5000949999999964,5.999820000000007,6495.0,26
774299,-1.500104999999996,-2.000099999999996,5.999820000000007,33932.0,26
